abandonment,leaving behind
abase,lower
abash,humiliate
abashed,embarrassed
abate,stop
abating,narrowing
ABC,essentials
abdicate,renounce
abdication,resignation
abdomen,belly
abduct,kidnap
abduction,kidnap
aberrant,peculiar
aberration,anomaly
abet,support
abettor,accomplice
abhor,dislike
abhorrence,abomination
abhorrent,hateful
abiding,long-lasting
ability,skill
abject,miserable
abjuration,renunciation
abjure,disown
ablaze,on fire
able,capable
ably,skillfully
abnormality,irregularity
aboard,on the train
abode,residence
abominable,terrible
abominably,dreadfully
abominate,abhor
abomination,revulsion
aboriginal,original
abortive,failed
abound,proliferate
abounding,flourishing
about,in this area
above,higher than
aboveboard,authenticated
abracadabra,hocus-pocus
abrade,grind
abrasion,cut
abrasive,harsh
abrasively,scratchily
abreast,side by side
abridge,reduce
abridged,shortened
abridgment,synopsis
abrupt,sudden
abruptly,immediately
abruptness,sharpness
abscess,boil
abscond,escape
absconding,desertion
absence,nonexistence
absentee,truant
absenteeism,absence
absently,neglectfully
absolute,resolution
absolutely,unquestionably
absolution,forgiveness
absolutism,tyranny
absolve,forgive
absorbent,porous
absorption,captivation
abstain,withhold
abstaining,nonparticipation
abstemious,temperate
abstention,refraining
abstinence,moderation
abstinent,temperate
abstracted,inattentive
abstractedly,distractedly
abstractly,theoretically
abstruse,mysterious
abstruseness,mysteriousness
absurdity,ridiculousness
absurdly,ridiculously
abundance,plenty
abundant,plentiful
abundantly,copiously
abuse,manipulate
abuser,user
abusively,rudely
abusiveness,impoliteness
abut,lie alongside
abutting,against
abysmally,appallingly
abyss,gulf
academia,university circles
academic,literary
academically,rationally
academy,college
accede,attain
acceleration,hastening
accentuate,put the accent on
accentuation,beat
accept,acknowledge
acceptability,suitability
acceptable,conventional
acceptably,well enough
accepted,usual
accepting,long-suffering
access,door
accessibility,ease of understanding
accessible,reachable
accessibly,handily
accession,agreement
accessories,garnishing
accessory,belt
accident,industrial accident
accidental,unintentional
accidentally,fortuitously
acclaim,applause
acclaimed,much-admired
acclamation,clapping
acclimate,get used to
acclimatization,familiarization
acclimatize,adjust
accolade,rave review
accommodating,helpful
accompaniment,addition
accompaniments,trimmings
accompaniment's,frills
accomplice,co-conspirator
accomplishment,achievement
accomplishments,actions
accomplishment's,deeds
accord,treaty
accordingly,in view of that
accost,waylay
account,tab
accountability,answerability
accountable,blamed
accounts,financial statement
account's,financial records
accouterments,accessories
accredit,certify
accreditation,official approval
accredited,qualified
accretion,mass
accrual,accumulation
accrue,increase
accumulation,growth
accumulator,squirrel
accuracy,correctness
accurate,true
accurateness,correctness
accusatory,snappish
accuser,plaintiff
acerbic,mordant
ache,headache
achievable,doable
achieve,realize
achiever,high flier
aching,throbbing
acidic,acid
acidity,sharpness
acidly,acerbically
acknowledgment,greeting
acme,height
acne,spots
acquaint,tell
acquaintances,associates
acquainted,familiar
acquiesce,submit
acquiescence,compliance
acquiescent,agreeable
acquire,get your hands on
acquirement,gaining
acquisitive,greedy
acquisitiveness,materialism
acquit,exonerate
acquittal,exoneration
acreage,land
acrid,vitriolic
acrimonious,bitter
acrimony,animosity
acrobat,gymnast
acrobatic,athletic
across,crosswise
act,play a role
acting,performing arts
action,proceedings
actions,events
action's,trial
activation,initiation
active,committed
activist,liberal
activities,actions
activity,endeavor
actress,player
actual,real
actuality,truth
actually,in fact
actuate,put into action
acuity,insight
acumen,insight
acutely,very
acuteness,intensity
ad,public notice
adage,maxim
adamant,stubborn
adamantly,stubbornly
adaptability,compliance
adaptable,flexible
add,enlarge
added,extra
addendum,addition
addiction,obsession
adding,count
addition,addendum
additional,bonus
addition's,superfluities
additive,preservative
address,take up
addressee,beneficiary
addressees,viewers
addressee's,spectators
adept,practiced
adeptly,adroitly
adeptness,adroitness
adequacy,sufficiency
adequate,passable
adherence,devotion
adherent,believer
adhesion,hold
adhesive,glue
adieu,goodbye
adjacently,closely
adjoin,be close to
adjoining,next-door
adjourn,delay
adjournment,break
adjudge,declare
adjudicate,pass judgment
adjudication,arbitration
adjudicator,arbitrator
adjudicators,jury
adjudicator's,panel of judges
adjunct,addition
adjust,change
adjustable,modifiable
administrate,control
administration,handing out
administratively,directorially
administrator,official
admirably,commendably
admired,accepted
admirer,fan
admiring,positive
admiringly,favorably
admissibility,tolerability
admissible,permissible
admit,declare
admittance,entrance
admonish,reprimand
admonishment,reproach
admonition,caution
admonitory,advisory
ado,upheaval
adolescence,puberty
adolescent,youthful
adolescents,young people
adopt,take on board
adorable,lovable
adorably,endearingly
adoration,worship
adore,be crazy about
adored,highly thought of
adoring,indulgent
adorn,prettify
adorned,ornamented
adornment,trimming
adrift,aimless
adroit,able
adroitly,competently
adroitness,skillfulness
adulate,adore
adulation,reverence
adulterate,taint
adulterated,dirty
adulteration,sullying
adulterous,double-crossing
adultery,betrayal
adulthood,later life
advance,development
advanced,well ahead
advancement,progress
advantage,benefit
advantaged,privileged
advantageously,gainfully
advantages,compensation
advantage's,recompense
Advent,start
adventurer,voyager
adventuresome,exciting
adventurously,daringly
adversary,foe
adversity,misfortune
advertise,make known
advertiser,advocate
advertising,publicity
advice,information
advisability,sense
advise,recommend
advisedly,intentionally
advocacy,promotion
aegis,auspices
aerate,expose
aeration,airing
aerobatics,stunts
aerobics,exercises
aerodynamic,slick
aerosol,spray
afar,far afield
affability,friendliness
affable,genial
affably,in a friendly way
affair,matter
affairs,contact
affair's,interaction
affect,change
affectation,quirk
affected,unnatural
affecting,distressing
affectionate,loving
affectionately,lovingly
affidavit,sworn statement
affiliate,connect
affiliated,associated
affiliation,membership
affinity,sympathy
affirm,pronounce
affirmation,avowal
affirmative,assenting
affirmatively,positively
affirmed,avowed
affix,pin
afflict,bother
affliction,hardship
affluence,privileged circumstances
affluently,prosperously
afford,meet the expense of
affordable,reasonably priced
afforest,forest
affray,brawl
affront,offend
affronted,injured
aficionado,fan
afire,on fire
aflame,ablaze
afloat,floating
aflutter,keyed up
afoot,going on
aforesaid,aforementioned
afraid,scared
afresh,anew
aft,at the back
after,with
aftereffects,repercussion
aftereffect's,result
afterglow,exhilaration
afterlife,next world
aftermath,upshot
afternoon,day
aftershave,fragrance
aftertaste,savor
afterthought,reflection
afterward,next
again,over again
against,hostile to
agape,open-mouthed
age,get older
ageless,classic
agency,outfit
aggrandize,enhance
aggrandizement,overdoing
aggravate,exacerbate
aggravated,forced
aggravating,maddening
aggravation,stress
aggregate,entire sum
aggression,assault
aggressively,assertively
aggressiveness,violence
aggressor,attacker
aggrieve,afflict
aggrieved,wronged
aghast,astonished
agile,lithe
agilely,neatly
agility,alertness
agitate,protest
agitated,disconcerted
agitation,confrontation
agitator,campaigner
aglow,aflame
agnostic,disbeliever
agnosticism,non-belief
ago,past
agog,keen
agonize,worry
agonized,distressed
agonizing,excruciating
agonizingly,worryingly
agree,decide
agreeable,suitable
agreeably,delightfully
agreed,decided
agreeing,in agreement
agreement,covenant
agriculture,farming
aground,grounded
ahead,yet to be
aid,bolster
aide,supporter
ail,bother
ailing,ill
ailment,complaint
aim,take aim
aimed,meant
aimless,purposeless
aimlessly,in a meaningless way
aimlessness,senselessness
airborne,above ground
airfield,airstrip
airhead,idealist
airiness,freshness
airing,expression
airless,stifling
airliner,jet
airplane,aircraft
airs,pride
air's,arrogance
airship,blimp
airstrip,airfield
airtight,sealed
airy,lighthearted
aisle,gangway
ajar,partly open
alacrity,speed
alarm,clock radio
alarmingly,frighteningly
alarmist,hysterical
Ala's,unfortunately
albatross,encumbrance
album,baby book
alcove,recess
alertly,vigilantly
